match_days,match_href,match_title,match_result,match_ground,match_location
2008-08-02,https://www.cricbuzz.com/cricket-scores/3502/vs-1st-match-bermuda-canada-ireland-kenya-netherlands-scotland-in-ireland-2008,"KENYA vs NETHERLANDS, 1st Match",Netherlands won by 19 runs,Civil Service Cricket Club,Belfast
2008-08-02,https://www.cricbuzz.com/cricket-scores/3503/vs-2nd-match-bermuda-canada-ireland-kenya-netherlands-scotland-in-ireland-2008,"IRELAND vs SCOTLAND, 2nd Match",Ireland won by 4 wickets (with 1 ball remaining),Civil Service Cricket Club,Belfast
2008-08-02,https://www.cricbuzz.com/cricket-scores/3504/vs-3rd-match-bermuda-canada-ireland-kenya-netherlands-scotland-in-ireland-2008,"CANADA vs NETHERLANDS, 3rd Match",Canada won by 4 wickets (with 3 balls remaining),Civil Service Cricket Club,Belfast
2008-08-03,https://www.cricbuzz.com/cricket-scores/3505/vs-4th-match-bermuda-canada-ireland-kenya-netherlands-scotland-in-ireland-2008,"BERMUDA vs SCOTLAND, 4th Match",Scotland won by 8 wickets (with 14 balls remaining),Civil Service Cricket Club,Belfast
2008-08-03,https://www.cricbuzz.com/cricket-scores/3506/vs-5th-match-bermuda-canada-ireland-kenya-netherlands-scotland-in-ireland-2008,"CANADA vs KENYA, 5th Match",Kenya won by 4 wickets (with 13 balls remaining),Civil Service Cricket Club,Belfast
2008-08-03,https://www.cricbuzz.com/cricket-scores/3507/vs-6th-match-bermuda-canada-ireland-kenya-netherlands-scotland-in-ireland-2008,"IRELAND vs BERMUDA, 6th Match",Ireland won by 4 runs (D/L method),Civil Service Cricket Club,Belfast
2008-08-04,https://www.cricbuzz.com/cricket-scores/3508/vs-1st-semi-final-bermuda-canada-ireland-kenya-netherlands-scotland-in-ireland-2008,"IRELAND vs KENYA, 1st Semi-Final",Ireland won by 4 wickets (with 5 balls remaining),Civil Service Cricket Club,Belfast
2008-08-04,https://www.cricbuzz.com/cricket-scores/3509/vs-2nd-semi-final-bermuda-canada-ireland-kenya-netherlands-scotland-in-ireland-2008,"NETHERLANDS vs SCOTLAND, 2nd Semi-Final",Netherlands won by 5 wickets (with 12 balls remaining),Civil Service Cricket Club,Belfast
2008-08-04,https://www.cricbuzz.com/cricket-scores/3510/vs-3rd-place-playoff-bermuda-canada-ireland-kenya-netherlands-scotland-in-ireland-2008,"KENYA vs SCOTLAND, 3rd Place Playoff",Scotland won by 9 wickets (with 11 balls remaining),Civil Service Cricket Club,Belfast
2008-08-05,https://www.cricbuzz.com/cricket-scores/3511/vs-5th-place-playoff-bermuda-canada-ireland-kenya-netherlands-scotland-in-ireland-2008,"BERMUDA vs CANADA, 5th Place Playoff",Canada won by 8 wickets (with 57 balls remaining),Civil Service Cricket Club,Belfast
2008-08-05,https://www.cricbuzz.com/cricket-scores/3512/vs-final-bermuda-canada-ireland-kenya-netherlands-scotland-in-ireland-2008,"IRELAND vs NETHERLANDS, Final",No result (abandoned with a toss),Civil Service Cricket Club,Belfast
2008-07-28,https://www.cricbuzz.com/cricket-scores/9767/vs-european-championship-division-one-7th-match-european-championship-division-one,"IRELAND vs NETHERLANDS, European Championship Division One - 7th match",Ireland won by 7 wickets (with 126 balls remaining),Castle Avenue,Dublin
2008-07-28,https://www.cricbuzz.com/cricket-scores/9767/vs-european-championship-division-one-7th-match-european-championship-division-one,"IRELAND vs NETHERLANDS, European Championship Division One - 7th match",Ireland won by 7 wickets (with 126 balls remaining),Castle Avenue,Dublin
2008-07-29,https://www.cricbuzz.com/cricket-scores/9768/vs-european-championship-division-one-11th-match-european-championship-division-one,"NETHERLANDS vs SCOTLAND, European Championship Division One - 11th match",Scotland won by 6 wickets (with 166 balls remaining),Castle Avenue,Dublin
2008-07-31,https://www.cricbuzz.com/cricket-scores/9769/vs-european-championship-division-one-13th-match-european-championship-division-one,"IRELAND vs SCOTLAND, European Championship Division One - 13th match",Ireland won by 7 wickets (with 19 balls remaining) (D/L method),Castle Avenue,Dublin
2008-07-23 | 2008-07-26,https://www.cricbuzz.com/cricket-scores/3636/vs-1st-test-india-in-sri-lanka-test-series-2008,"SRI LANKA vs INDIA, 1st Test",Sri Lanka won by an innings and 239 runs,Sinhalese Sports Club,Colombo
2008-07-23 | 2008-07-26,https://www.cricbuzz.com/cricket-scores/3636/vs-1st-test-india-in-sri-lanka-test-series-2008,"SRI LANKA vs INDIA, 1st Test",Sri Lanka won by an innings and 239 runs,Sinhalese Sports Club,Colombo
2008-07-31 | 2008-08-03,https://www.cricbuzz.com/cricket-scores/3637/vs-2nd-test-india-in-sri-lanka-test-series-2008,"SRI LANKA vs INDIA, 2nd Test",India won by 170 runs,Galle International Stadium,Galle
2008-08-08 | 2008-08-11,https://www.cricbuzz.com/cricket-scores/3638/vs-3rd-test-india-in-sri-lanka-test-series-2008,"SRI LANKA vs INDIA, 3rd Test",Sri Lanka won by 8 wickets,P Sara Oval,Colombo
2008-07-10 | 2008-07-14,https://www.cricbuzz.com/cricket-scores/3632/vs-1st-test-south-africa-in-england-2008,"ENGLAND vs SOUTH AFRICA, 1st Test",Match drawn,Lord's,London
2008-07-10 | 2008-07-14,https://www.cricbuzz.com/cricket-scores/3632/vs-1st-test-south-africa-in-england-2008,"ENGLAND vs SOUTH AFRICA, 1st Test",Match drawn,Lord's,London
2008-07-18 | 2008-07-21,https://www.cricbuzz.com/cricket-scores/3633/vs-2nd-test-south-africa-in-england-2008,"ENGLAND vs SOUTH AFRICA, 2nd Test",South Africa won by 10 wickets,Headingley,Leeds
2008-07-30 | 2008-08-02,https://www.cricbuzz.com/cricket-scores/3634/vs-3rd-test-south-africa-in-england-2008,"ENGLAND vs SOUTH AFRICA, 3rd Test",South Africa won by 5 wickets,Edgbaston,Birmingham
2008-08-07 | 2008-08-11,https://www.cricbuzz.com/cricket-scores/3635/vs-4th-test-south-africa-in-england-2008,"ENGLAND vs SOUTH AFRICA, 4th Test",England won by 6 wickets,Kennington Oval,London
2008-07-01,https://www.cricbuzz.com/cricket-scores/3540/vs-1st-match-ireland-new-zealand-scotland-in-scotland,"IRELAND vs NEW ZEALAND, 1st Match",New Zealand won by 290 runs,Mannofield Park,Aberdeen
2008-07-01,https://www.cricbuzz.com/cricket-scores/3540/vs-1st-match-ireland-new-zealand-scotland-in-scotland,"IRELAND vs NEW ZEALAND, 1st Match",New Zealand won by 290 runs,Mannofield Park,Aberdeen
2008-07-02,https://www.cricbuzz.com/cricket-scores/3541/vs-2nd-match-ireland-new-zealand-scotland-in-scotland,"SCOTLAND vs IRELAND, 2nd Match",Scotland won by 5 wickets (with 15 balls remaining),Mannofield Park,Aberdeen
2008-07-03,https://www.cricbuzz.com/cricket-scores/3542/vs-3rd-match-ireland-new-zealand-scotland-in-scotland,"SCOTLAND vs NEW ZEALAND, 3rd Match",New Zealand won by 8 wickets (with 212 balls remaining),Mannofield Park,Aberdeen
2008-06-28,https://www.cricbuzz.com/cricket-scores/3534/vs-1st-odi-bermuda-in-canada-odi-series,"CANADA vs BERMUDA, 1st ODI",Bermuda won by 3 wickets (with 3 balls remaining),Maple Leaf North-West Ground,King City
2008-06-28,https://www.cricbuzz.com/cricket-scores/3534/vs-1st-odi-bermuda-in-canada-odi-series,"CANADA vs BERMUDA, 1st ODI",Bermuda won by 3 wickets (with 3 balls remaining),Maple Leaf North-West Ground,King City
2008-06-29,https://www.cricbuzz.com/cricket-scores/3535/vs-2nd-odi-bermuda-in-canada-odi-series,"CANADA vs BERMUDA, 2nd ODI",Bermuda won by 11 runs (D/L method),Maple Leaf North-West Ground,King City
2008-07-01,https://www.cricbuzz.com/cricket-scores/3536/vs-3rd-odi-bermuda-in-canada-odi-series,"CANADA vs BERMUDA, 3rd ODI",Canada won by 77 runs,Maple Leaf North-West Ground,King City
2008-06-24,https://www.cricbuzz.com/cricket-scores/3543/vs-1st-match-group-a-bangladesh-hong-kong-india-pakistan-sri-lanka-united-arab-emirates-in-pakistan-2008-asia-cup,"BANGLADESH vs UNITED ARAB EMIRATES, 1st Match, Group A",Bangladesh won by 96 runs,Gaddafi Stadium,Lahore
2008-06-24,https://www.cricbuzz.com/cricket-scores/3543/vs-1st-match-group-a-bangladesh-hong-kong-india-pakistan-sri-lanka-united-arab-emirates-in-pakistan-2008-asia-cup,"BANGLADESH vs UNITED ARAB EMIRATES, 1st Match, Group A",Bangladesh won by 96 runs,Gaddafi Stadium,Lahore
2008-06-24,https://www.cricbuzz.com/cricket-scores/3544/vs-2nd-match-group-b-bangladesh-hong-kong-india-pakistan-sri-lanka-united-arab-emirates-in-pakistan-2008-asia-cup,"PAKISTAN vs HONG KONG, 2nd Match, Group B",Pakistan won by 155 runs,National Stadium,Karachi
2008-06-25,https://www.cricbuzz.com/cricket-scores/3545/vs-3rd-match-group-a-bangladesh-hong-kong-india-pakistan-sri-lanka-united-arab-emirates-in-pakistan-2008-asia-cup,"BANGLADESH vs SRI LANKA, 3rd Match, Group A",Sri Lanka won by 131 runs,Gaddafi Stadium,Lahore
2008-06-25,https://www.cricbuzz.com/cricket-scores/3546/vs-4th-match-group-b-bangladesh-hong-kong-india-pakistan-sri-lanka-united-arab-emirates-in-pakistan-2008-asia-cup,"HONG KONG vs INDIA, 4th Match, Group B",India won by 256 runs,National Stadium,Karachi
2008-06-26,https://www.cricbuzz.com/cricket-scores/3547/vs-5th-match-group-b-bangladesh-hong-kong-india-pakistan-sri-lanka-united-arab-emirates-in-pakistan-2008-asia-cup,"PAKISTAN vs INDIA, 5th Match, Group B",India won by 6 wickets (with 47 balls remaining),National Stadium,Karachi
2008-06-26,https://www.cricbuzz.com/cricket-scores/3548/vs-6th-match-group-a-bangladesh-hong-kong-india-pakistan-sri-lanka-united-arab-emirates-in-pakistan-2008-asia-cup,"SRI LANKA vs UNITED ARAB EMIRATES, 6th Match, Group A",Sri Lanka won by 142 runs,Gaddafi Stadium,Lahore
2008-06-28,https://www.cricbuzz.com/cricket-scores/3549/vs-7th-match-super-four-bangladesh-hong-kong-india-pakistan-sri-lanka-united-arab-emirates-in-pakistan-2008-asia-cup,"BANGLADESH vs INDIA, 7th Match, Super Four",India won by 7 wickets (with 40 balls remaining),National Stadium,Karachi
2008-06-29,https://www.cricbuzz.com/cricket-scores/3550/vs-8th-match-super-four-bangladesh-hong-kong-india-pakistan-sri-lanka-united-arab-emirates-in-pakistan-2008-asia-cup,"PAKISTAN vs SRI LANKA, 8th Match, Super Four",Sri Lanka won by 64 runs,National Stadium,Karachi
2008-06-30,https://www.cricbuzz.com/cricket-scores/3551/vs-9th-match-super-four-bangladesh-hong-kong-india-pakistan-sri-lanka-united-arab-emirates-in-pakistan-2008-asia-cup,"BANGLADESH vs SRI LANKA, 9th Match, Super Four",Sri Lanka won by 158 runs,National Stadium,Karachi
2008-07-02,https://www.cricbuzz.com/cricket-scores/3552/vs-10th-match-super-four-bangladesh-hong-kong-india-pakistan-sri-lanka-united-arab-emirates-in-pakistan-2008-asia-cup,"PAKISTAN vs INDIA, 10th Match, Super Four",Pakistan won by 8 wickets (with 27 balls remaining),National Stadium,Karachi
2008-07-03,https://www.cricbuzz.com/cricket-scores/3553/vs-11th-match-super-four-bangladesh-hong-kong-india-pakistan-sri-lanka-united-arab-emirates-in-pakistan-2008-asia-cup,"INDIA vs SRI LANKA, 11th Match, Super Four",India won by 6 wickets (with 19 balls remaining),National Stadium,Karachi
2008-07-04,https://www.cricbuzz.com/cricket-scores/3554/vs-12th-match-super-four-bangladesh-hong-kong-india-pakistan-sri-lanka-united-arab-emirates-in-pakistan-2008-asia-cup,"PAKISTAN vs BANGLADESH, 12th Match, Super Four",Pakistan won by 10 wickets (with 182 balls remaining),National Stadium,Karachi
2008-07-06,https://www.cricbuzz.com/cricket-scores/3555/vs-final-bangladesh-hong-kong-india-pakistan-sri-lanka-united-arab-emirates-in-pakistan-2008-asia-cup,"INDIA vs SRI LANKA, Final",Sri Lanka won by 100 runs,National Stadium,Karachi
2008-06-24,https://www.cricbuzz.com/cricket-scores/3556/vs-1st-odi-australia-in-west-indies-odi-series,"WINDIES vs AUSTRALIA, 1st ODI",Australia won by 84 runs,Arnos Vale Ground,Kingstown
2008-06-24,https://www.cricbuzz.com/cricket-scores/3556/vs-1st-odi-australia-in-west-indies-odi-series,"WINDIES vs AUSTRALIA, 1st ODI",Australia won by 84 runs,Arnos Vale Ground,Kingstown
2008-06-27,https://www.cricbuzz.com/cricket-scores/3557/vs-2nd-odi-australia-in-west-indies-odi-series,"WINDIES vs AUSTRALIA, 2nd ODI",Australia won by 63 runs (D/L method),National Cricket Stadium,St George's
2008-06-29,https://www.cricbuzz.com/cricket-scores/3558/vs-3rd-odi-australia-in-west-indies-odi-series,"WINDIES vs AUSTRALIA, 3rd ODI",Australia won by 7 wickets (with 57 balls remaining),National Cricket Stadium,St George's
2008-07-04,https://www.cricbuzz.com/cricket-scores/3559/vs-4th-odi-australia-in-west-indies-odi-series,"WINDIES vs AUSTRALIA, 4th ODI",Australia won by 1 run,Warner Park,Basseterre
2008-07-06,https://www.cricbuzz.com/cricket-scores/3560/vs-5th-odi-australia-in-west-indies-odi-series,"WINDIES vs AUSTRALIA, 5th ODI",Australia won by 169 runs,Warner Park,Basseterre
2008-06-20,https://www.cricbuzz.com/cricket-scores/3501/vs-only-t20i-australia-in-west-indies-t20i-match-2008,"WINDIES vs AUSTRALIA, Only T20I",West Indies won by 7 wickets (with 11 balls remaining),Kensington Oval,Bridgetown
2008-06-20,https://www.cricbuzz.com/cricket-scores/3501/vs-only-t20i-australia-in-west-indies-t20i-match-2008,"WINDIES vs AUSTRALIA, Only T20I",West Indies won by 7 wickets (with 11 balls remaining),Kensington Oval,Bridgetown
2008-06-13,https://www.cricbuzz.com/cricket-scores/3500/vs-only-t20i-new-zealand-in-england-t20i-match-2008,"ENGLAND vs NEW ZEALAND, Only T20I",England won by 9 wickets (with 15 balls remaining),Old Trafford,Manchester
2008-06-13,https://www.cricbuzz.com/cricket-scores/3500/vs-only-t20i-new-zealand-in-england-t20i-match-2008,"ENGLAND vs NEW ZEALAND, Only T20I",England won by 9 wickets (with 15 balls remaining),Old Trafford,Manchester
2008-06-08,https://www.cricbuzz.com/cricket-scores/3525/vs-1st-match-bangladesh-india-pakistan-in-bangladesh,"BANGLADESH vs PAKISTAN, 1st Match",Pakistan won by 70 runs,Shere Bangla National Stadium,Dhaka
2008-06-08,https://www.cricbuzz.com/cricket-scores/3525/vs-1st-match-bangladesh-india-pakistan-in-bangladesh,"BANGLADESH vs PAKISTAN, 1st Match",Pakistan won by 70 runs,Shere Bangla National Stadium,Dhaka
2008-06-10,https://www.cricbuzz.com/cricket-scores/3526/vs-2nd-match-bangladesh-india-pakistan-in-bangladesh,"INDIA vs PAKISTAN, 2nd Match",India won by 140 runs,Shere Bangla National Stadium,Dhaka
2008-06-12,https://www.cricbuzz.com/cricket-scores/3527/vs-3rd-match-bangladesh-india-pakistan-in-bangladesh,"BANGLADESH vs INDIA, 3rd Match",India won by 7 wickets (with 89 balls remaining),Shere Bangla National Stadium,Dhaka
2008-06-14,https://www.cricbuzz.com/cricket-scores/3528/vs-final-bangladesh-india-pakistan-in-bangladesh,"INDIA vs PAKISTAN, Final",Pakistan won by 25 runs,Shere Bangla National Stadium,Dhaka
2008-05-22 | 2008-05-26,https://www.cricbuzz.com/cricket-scores/3629/vs-1st-test-australia-in-west-indies-2008,"WINDIES vs AUSTRALIA, 1st Test",Australia won by 95 runs,Sabina Park,Kingston
2008-05-22 | 2008-05-26,https://www.cricbuzz.com/cricket-scores/3629/vs-1st-test-australia-in-west-indies-2008,"WINDIES vs AUSTRALIA, 1st Test",Australia won by 95 runs,Sabina Park,Kingston
2008-05-30 | 2008-06-03,https://www.cricbuzz.com/cricket-scores/3630/vs-2nd-test-australia-in-west-indies-2008,"WINDIES vs AUSTRALIA, 2nd Test",Match drawn,Sir Vivian Richards Stadium,North Sound
2008-06-12 | 2008-06-16,https://www.cricbuzz.com/cricket-scores/3631/vs-3rd-test-australia-in-west-indies-2008,"WINDIES vs AUSTRALIA, 3rd Test",Australia won by 87 runs,Kensington Oval,Bridgetown
2008-05-15 | 2008-05-19,https://www.cricbuzz.com/cricket-scores/3626/vs-1st-test-new-zealand-in-england-test-series-2008,"ENGLAND vs NEW ZEALAND, 1st Test",Match drawn,Lord's,London
2008-05-15 | 2008-05-19,https://www.cricbuzz.com/cricket-scores/3626/vs-1st-test-new-zealand-in-england-test-series-2008,"ENGLAND vs NEW ZEALAND, 1st Test",Match drawn,Lord's,London
2008-05-23 | 2008-05-26,https://www.cricbuzz.com/cricket-scores/3627/vs-2nd-test-new-zealand-in-england-test-series-2008,"ENGLAND vs NEW ZEALAND, 2nd Test",England won by 6 wickets,Old Trafford,Manchester
2008-06-05 | 2008-06-08,https://www.cricbuzz.com/cricket-scores/3628/vs-3rd-test-new-zealand-in-england-test-series-2008,"ENGLAND vs NEW ZEALAND, 3rd Test",England won by an innings and 9 runs,Trent Bridge,Nottingham
2008-04-20,https://www.cricbuzz.com/cricket-scores/3696/vs-only-t20i-bangladesh-in-pakistan-t20i-match-2008,"PAKISTAN vs BANGLADESH, Only T20I",Pakistan won by 102 runs,National Stadium,Karachi
2008-04-20,https://www.cricbuzz.com/cricket-scores/3696/vs-only-t20i-bangladesh-in-pakistan-t20i-match-2008,"PAKISTAN vs BANGLADESH, Only T20I",Pakistan won by 102 runs,National Stadium,Karachi
2008-04-10,https://www.cricbuzz.com/cricket-scores/3816/vs-1st-odi-sri-lanka-in-west-indies-odi-series,"WINDIES vs SRI LANKA, 1st ODI",West Indies won by 1 wicket (with 0 balls remaining),Queen's Park Oval,Port of Spain
2008-04-10,https://www.cricbuzz.com/cricket-scores/3816/vs-1st-odi-sri-lanka-in-west-indies-odi-series,"WINDIES vs SRI LANKA, 1st ODI",West Indies won by 1 wicket (with 0 balls remaining),Queen's Park Oval,Port of Spain
2008-04-12,https://www.cricbuzz.com/cricket-scores/3817/vs-2nd-odi-sri-lanka-in-west-indies-odi-series,"WINDIES vs SRI LANKA, 2nd ODI",West Indies won by 7 wickets (with 27 balls remaining) (D/L method),Queen's Park Oval,Port of Spain
2008-04-15,https://www.cricbuzz.com/cricket-scores/3818/vs-3rd-odi-sri-lanka-in-west-indies-odi-series,"WINDIES vs SRI LANKA, 3rd ODI",No result,Daren Sammy National Cricket Stadium,Gros Islet
2008-04-08,https://www.cricbuzz.com/cricket-scores/3819/vs-1st-odi-bangladesh-in-pakistan-odi-series,"PAKISTAN vs BANGLADESH, 1st ODI",Pakistan won by 152 runs (D/L method),Gaddafi Stadium,Lahore
2008-04-08,https://www.cricbuzz.com/cricket-scores/3819/vs-1st-odi-bangladesh-in-pakistan-odi-series,"PAKISTAN vs BANGLADESH, 1st ODI",Pakistan won by 152 runs (D/L method),Gaddafi Stadium,Lahore
2008-04-11,https://www.cricbuzz.com/cricket-scores/3820/vs-2nd-odi-bangladesh-in-pakistan-odi-series,"PAKISTAN vs BANGLADESH, 2nd ODI",Pakistan won by 7 wickets (with 10 balls remaining) (D/L method),Iqbal Stadium,Faisalabad
2008-04-13,https://www.cricbuzz.com/cricket-scores/3821/vs-3rd-odi-bangladesh-in-pakistan-odi-series,"PAKISTAN vs BANGLADESH, 3rd ODI",Pakistan won by 23 runs,Gaddafi Stadium,Lahore
2008-04-16,https://www.cricbuzz.com/cricket-scores/3822/vs-4th-odi-bangladesh-in-pakistan-odi-series,"PAKISTAN vs BANGLADESH, 4th ODI",Pakistan won by 7 wickets (with 33 balls remaining),Multan Cricket Stadium,Multan
2008-04-19,https://www.cricbuzz.com/cricket-scores/3823/vs-5th-odi-bangladesh-in-pakistan-odi-series,"PAKISTAN vs BANGLADESH, 5th ODI",Pakistan won by 150 runs,National Stadium,Karachi
2008-03-26 | 2008-03-30,https://www.cricbuzz.com/cricket-scores/3863/vs-1st-test-south-africa-in-india-test-series-2008,"INDIA vs SOUTH AFRICA, 1st Test",Match drawn,MA Chidambaram Stadium,Chennai
2008-03-26 | 2008-03-30,https://www.cricbuzz.com/cricket-scores/3863/vs-1st-test-south-africa-in-india-test-series-2008,"INDIA vs SOUTH AFRICA, 1st Test",Match drawn,MA Chidambaram Stadium,Chennai
2008-04-03 | 2008-04-05,https://www.cricbuzz.com/cricket-scores/3864/vs-2nd-test-south-africa-in-india-test-series-2008,"INDIA vs SOUTH AFRICA, 2nd Test",South Africa won by an innings and 90 runs,Sardar Patel Stadium,Ahmedabad
2008-04-11 | 2008-04-13,https://www.cricbuzz.com/cricket-scores/3865/vs-3rd-test-south-africa-in-india-test-series-2008,"INDIA vs SOUTH AFRICA, 3rd Test",India won by 8 wickets,Green Park,Kanpur
2008-03-22 | 2008-03-26,https://www.cricbuzz.com/cricket-scores/3861/vs-1st-test-sri-lanka-in-west-indies-test-series-2008,"WINDIES vs SRI LANKA, 1st Test",Sri Lanka won by 121 runs,Providence Stadium,Guyana
2008-03-22 | 2008-03-26,https://www.cricbuzz.com/cricket-scores/3861/vs-1st-test-sri-lanka-in-west-indies-test-series-2008,"WINDIES vs SRI LANKA, 1st Test",Sri Lanka won by 121 runs,Providence Stadium,Guyana
2008-04-03 | 2008-04-06,https://www.cricbuzz.com/cricket-scores/3862/vs-2nd-test-sri-lanka-in-west-indies-test-series-2008,"WINDIES vs SRI LANKA, 2nd Test",West Indies won by 6 wickets,Queen's Park Oval,Port of Spain
2008-03-18,https://www.cricbuzz.com/cricket-scores/3813/vs-1st-odi-ireland-in-bangladesh-odi-series,"BANGLADESH vs IRELAND, 1st ODI",Bangladesh won by 8 wickets (with 61 balls remaining),Shere Bangla National Stadium,Dhaka
2008-03-18,https://www.cricbuzz.com/cricket-scores/3813/vs-1st-odi-ireland-in-bangladesh-odi-series,"BANGLADESH vs IRELAND, 1st ODI",Bangladesh won by 8 wickets (with 61 balls remaining),Shere Bangla National Stadium,Dhaka
2008-03-20,https://www.cricbuzz.com/cricket-scores/3814/vs-2nd-odi-ireland-in-bangladesh-odi-series,"BANGLADESH vs IRELAND, 2nd ODI",Bangladesh won by 84 runs,Shere Bangla National Stadium,Dhaka
2008-03-22,https://www.cricbuzz.com/cricket-scores/3815/vs-3rd-odi-ireland-in-bangladesh-odi-series,"BANGLADESH vs IRELAND, 3rd ODI",Bangladesh won by 79 runs,Shere Bangla National Stadium,Dhaka
2008-03-09,https://www.cricbuzz.com/cricket-scores/3810/vs-1st-odi-south-africa-in-bangladesh-odi-series,"BANGLADESH vs SOUTH AFRICA, 1st ODI",South Africa won by 9 wickets (with 79 balls remaining),Zahur Ahmed Chowdhury Stadium,Chattogram
2008-03-09,https://www.cricbuzz.com/cricket-scores/3810/vs-1st-odi-south-africa-in-bangladesh-odi-series,"BANGLADESH vs SOUTH AFRICA, 1st ODI",South Africa won by 9 wickets (with 79 balls remaining),Zahur Ahmed Chowdhury Stadium,Chattogram
2008-03-12,https://www.cricbuzz.com/cricket-scores/3811/vs-2nd-odi-south-africa-in-bangladesh-odi-series,"BANGLADESH vs SOUTH AFRICA, 2nd ODI",South Africa won by 7 wickets (with 11 balls remaining),Shere Bangla National Stadium,Dhaka
2008-03-14,https://www.cricbuzz.com/cricket-scores/3812/vs-3rd-odi-south-africa-in-bangladesh-odi-series,"BANGLADESH vs SOUTH AFRICA, 3rd ODI",South Africa won by 7 wickets (with 94 balls remaining),Shere Bangla National Stadium,Dhaka
2008-03-05 | 2008-03-09,https://www.cricbuzz.com/cricket-scores/3858/vs-1st-test-england-in-new-zealand-test-series-2008,"NEW ZEALAND vs ENGLAND, 1st Test",New Zealand won by 189 runs,Seddon Park,Hamilton
2008-03-05 | 2008-03-09,https://www.cricbuzz.com/cricket-scores/3858/vs-1st-test-england-in-new-zealand-test-series-2008,"NEW ZEALAND vs ENGLAND, 1st Test",New Zealand won by 189 runs,Seddon Park,Hamilton
2008-03-13 | 2008-03-17,https://www.cricbuzz.com/cricket-scores/3859/vs-2nd-test-england-in-new-zealand-test-series-2008,"NEW ZEALAND vs ENGLAND, 2nd Test",England won by 126 runs,Basin Reserve,Wellington
2008-03-22 | 2008-03-26,https://www.cricbuzz.com/cricket-scores/3860/vs-3rd-test-england-in-new-zealand-test-series-2008,"NEW ZEALAND vs ENGLAND, 3rd Test",England won by 121 runs,McLean Park,Napier
2008-02-22 | 2008-02-25,https://www.cricbuzz.com/cricket-scores/3857/vs-1st-test-south-africa-in-bangladesh-test-series-2008,"BANGLADESH vs SOUTH AFRICA, 1st Test",South Africa won by 5 wickets,Shere Bangla National Stadium,Dhaka
2008-02-22 | 2008-02-25,https://www.cricbuzz.com/cricket-scores/3857/vs-1st-test-south-africa-in-bangladesh-test-series-2008,"BANGLADESH vs SOUTH AFRICA, 1st Test",South Africa won by 5 wickets,Shere Bangla National Stadium,Dhaka
2008-02-29 | 2008-03-03,https://www.cricbuzz.com/cricket-scores/9700/vs-2nd-test-south-africa-in-bangladesh-test-series-2008,"BANGLADESH vs SOUTH AFRICA, 2nd Test",South Africa won by an innings and 205 runs,Zahur Ahmed Chowdhury Stadium,Chattogram
2008-02-09,https://www.cricbuzz.com/cricket-scores/3791/vs-1st-odi-england-in-new-zealand-odi-series,"NEW ZEALAND vs ENGLAND, 1st ODI",New Zealand won by 6 wickets (with 120 balls remaining),Westpac Stadium,Wellington
2008-02-09,https://www.cricbuzz.com/cricket-scores/3791/vs-1st-odi-england-in-new-zealand-odi-series,"NEW ZEALAND vs ENGLAND, 1st ODI",New Zealand won by 6 wickets (with 120 balls remaining),Westpac Stadium,Wellington
2008-02-12,https://www.cricbuzz.com/cricket-scores/3792/vs-2nd-odi-england-in-new-zealand-odi-series,"NEW ZEALAND vs ENGLAND, 2nd ODI",New Zealand won by 10 wickets (with 107 balls remaining) (D/L method),Seddon Park,Hamilton
2008-02-15,https://www.cricbuzz.com/cricket-scores/3793/vs-3rd-odi-england-in-new-zealand-odi-series,"NEW ZEALAND vs ENGLAND, 3rd ODI",England won by 6 wickets (with 18 balls remaining) (D/L method),Eden Park,Auckland
2008-02-20,https://www.cricbuzz.com/cricket-scores/3794/vs-4th-odi-england-in-new-zealand-odi-series,"NEW ZEALAND vs ENGLAND, 4th ODI",Match tied,McLean Park,Napier
2008-02-23,https://www.cricbuzz.com/cricket-scores/3795/vs-5th-odi-england-in-new-zealand-odi-series,"NEW ZEALAND vs ENGLAND, 5th ODI",New Zealand won by 34 runs (D/L method),AMI Stadium,Christchurch
2008-02-05,https://www.cricbuzz.com/cricket-scores/3694/vs-1st-t20i-england-in-new-zealand-t20i-series-2008,"NEW ZEALAND vs ENGLAND, 1st T20I",England won by 32 runs,Eden Park,Auckland
2008-02-05,https://www.cricbuzz.com/cricket-scores/3694/vs-1st-t20i-england-in-new-zealand-t20i-series-2008,"NEW ZEALAND vs ENGLAND, 1st T20I",England won by 32 runs,Eden Park,Auckland
2008-02-07,https://www.cricbuzz.com/cricket-scores/3695/vs-2nd-t20i-england-in-new-zealand-t20i-series-2008,"NEW ZEALAND vs ENGLAND, 2nd T20I",England won by 50 runs,AMI Stadium,Christchurch
2008-02-03,https://www.cricbuzz.com/cricket-scores/3796/vs-1st-match-australia-india-sri-lanka-in-australia,"AUSTRALIA vs INDIA, 1st Match",No result,The Gabba,Brisbane
2008-02-03,https://www.cricbuzz.com/cricket-scores/3796/vs-1st-match-australia-india-sri-lanka-in-australia,"AUSTRALIA vs INDIA, 1st Match",No result,The Gabba,Brisbane
2008-02-05,https://www.cricbuzz.com/cricket-scores/3797/vs-2nd-match-australia-india-sri-lanka-in-australia,"INDIA vs SRI LANKA, 2nd Match",No result,The Gabba,Brisbane
2008-02-08,https://www.cricbuzz.com/cricket-scores/3798/vs-3rd-match-australia-india-sri-lanka-in-australia,"AUSTRALIA vs SRI LANKA, 3rd Match",Australia won by 128 runs,Sydney Cricket Ground,Sydney
