title,year,duration_text,href
"New Zealand, Pakistan, Sri Lanka in United Arab Emirates, 1996 ",1996,Nov 08 - Nov 14,https://www.cricbuzz.com/cricket-series/665/new-zealand-pakistan-sri-lanka-in-united-arab-emirates-1996/matches
"Zimbabwe in Pakistan ODI Series, 1996 ",1996,Oct 31 - Nov 02,https://www.cricbuzz.com/cricket-series/663/zimbabwe-in-pakistan-odi-series-1996/matches
"Zimbabwe in Pakistan Test Series, 1996 ",1996,Oct 18 - Oct 25,https://www.cricbuzz.com/cricket-series/1386/zimbabwe-in-pakistan-test-series-1996/matches
"Australia, India, South Africa in India, 1996 ",1996,Oct 18 - Nov 05,https://www.cricbuzz.com/cricket-series/664/australia-india-south-africa-in-india-1996/matches
"Australia in India, 1996 ",1996,Oct 11 - Oct 12,https://www.cricbuzz.com/cricket-series/1385/australia-in-india-1996/matches
"Kenya, Pakistan, South Africa, Sri Lanka in Kenya, 1996 ",1996,Sep 29 - Oct 05,https://www.cricbuzz.com/cricket-series/662/kenya-pakistan-south-africa-sri-lanka-in-kenya-1996/matches
"India, Pakistan in Canada, 1996 ",1996,Sep 17 - Sep 22,https://www.cricbuzz.com/cricket-series/661/india-pakistan-in-canada-1996/matches
"Zimbabwe in Sri Lanka Test Series, 1996 ",1996,Sep 12 - Sep 20,https://www.cricbuzz.com/cricket-series/1384/zimbabwe-in-sri-lanka-test-series-1996/matches
"Pakistan in England, 1996 ",1996,Aug 30 - Aug 31,https://www.cricbuzz.com/cricket-series/659/pakistan-in-england-1996/matches
"Australia, India, Sri Lanka, Zimbabwe in Sri Lanka, 1996 ",1996,Aug 27 - Sep 06,https://www.cricbuzz.com/cricket-series/660/australia-india-sri-lanka-zimbabwe-in-sri-lanka-1996/matches
"Pakistan in England Test Series, 1996 ",1996,Jul 26 - Aug 25,https://www.cricbuzz.com/cricket-series/1383/pakistan-in-england-test-series-1996/matches
"India in England Test Series, 1996 ",1996,Jun 07 - Jul 08,https://www.cricbuzz.com/cricket-series/1382/india-in-england-test-series-1996/matches
"India in England, 1996 ",1996,May 24 - May 26,https://www.cricbuzz.com/cricket-series/658/india-in-england-1996/matches
"New Zealand in West Indies Test Series, 1996 ",1996,Apr 20 - May 01,https://www.cricbuzz.com/cricket-series/1381/new-zealand-in-west-indies-test-series-1996/matches
"Sri Lanka in West Indies ODI Match, 1996 ",1996,Apr 14 - Apr 12,https://www.cricbuzz.com/cricket-series/656/sri-lanka-in-west-indies-odi-match-1996/matches
"India, Pakistan, South Africa in United Arab Emirates, 1996 ",1996,Apr 13 - Apr 18,https://www.cricbuzz.com/cricket-series/657/india-pakistan-south-africa-in-united-arab-emirates-1996/matches
"India, Pakistan, Sri Lanka in Singapore, 1996 ",1996,Apr 02 - Apr 06,https://www.cricbuzz.com/cricket-series/655/india-pakistan-sri-lanka-in-singapore-1996/matches
